Year,Season,Match No.,Date,Time,Type ,Playing Teams,Stadium,Dimensions horizontaly,Dimensions vertically,Stadium Capacity (2026),Stadium Capacity (year when the match held),City,On Field Umpires,Third Umpire,Referee,Toss Won,Decision,Batting Side Score,Fielding Side Score,Key Wicket-taker of the Fielding Side,Bowling Figures FS,Wickets Taken FS,Wicket Distribution FS,Economy FS,Key Run Scorer of the Batting Side,Runs Scored BS,In How many balls - BS,6s - BS,4s - BS,Wickets or Not Out of FS,Key Wicket Taker of the Batting Side ,Bowling Figures BS,Wickets Taken BS,Wickets Distribution BS,Economy BS,Key Run Scorer of the Fielding Side.,Runs Scored FS,In How many balls - FS,6s - FS,4s - FS,Wicket or Not Out BS,Key Fielder of the Fielfing Side,Catch Taken FS,Runouts FS,Key Fielder of the Batting Side.,Catch Taken BS,Runouts BS,Match Won,Margin Runs,Margin Wickets,Margin Balls,Does the toss team win,Notes
2008,1,1,2008-04-18,20:00:00,Group Stage,RCB - KKR,M.Chinnaswamy Stadium,55-66m,65-70m,40000,40000,Bengaluru,"Asad Rauf, Rudi Koertzen",Amiesh Saheba,Javagal Srinath,Royal Challengers Bengaluru,Fielding,KKR - 222-3,RCB - 82-10,Zaheer Khan,4-0-38-1,1,Catchout - 1,9.5,Brendon McCullum,158,73,13,10,Not Out,Ajit Agarkar,4-0-25-3,3,Caught - 3,6.25,Praveen Kumar,18,15,2,1,Not Out,Cameroon White,1,0,Wriddhiman Saha,1,1,KKR,140,0,0,No,"1. Even though Wriddhiman Saha, Murali Kartik, Ricky Ponting were highly involved in the fielding side as each were involved in 2 wickets for the KKR side, I have prioritised Wriddhiman Saha because he has taken 1 runout and 1 catch. 2. Similarly, for RCB, Jacques Kallis, Praveen Kumar, and Cameroon White were involved in taking one one catch each. So, it is difficult to choose.But I choose Cameroon White because his catch was more difficult than others. It was a sharp catch of Saurav Ganguli for Kallis in the slip but he was a regular slip player at that time while Praveen's catch of Ponting was a regular. White has to run backwards to catch it."
2008,1,2,2008-04-19,17:00:00,Group Stage,KXIP-CSK,Punjab Cricket Association IS Bindra Stadium,68-75,74-78,26950,26950,Mohali,"Alam Dar,  GA Pratapkumar",Ian Howell,Gundappa Viswanath,Chennai Super Kings,Batting,CSK - 240-5,KXIP - 207-4,Irfan Pathan,4-0-47-2,2,Bowled - 2,11.75,Michael Hussey,116,54,9,8,Not Out,Muthiah Muralidharan,4-0-33-1,1,Caught - 1,8.25,James Hopes,71,33,3,10,C. Joginder Sharma b. Amarnath,Irfan Pathan,1,0,Joginder Sharma,2,0,CSK,33,0,0,Yes,1. Sangakkara and Pathan took 1 catch each in the first batting. Both looks normal case. But I will give the Pathan  because he took the catch of Suresh Raina who was looking good in the match.
